location_id,field_name,community,address,city,state,zip,latitude,longitude,game_count
144,Walker Road Park,Bay Village,31621 Walker Road,Avon Lake,Oh,44012,41.492683,-81.970505,110
13,Barlow Farm Park,Hudson,1965 Barlow Road,Hudson,OH,44236,41.218658,-81.424347,104
330,Schwartz Road Park,Avon,35001 Schwartz Road,Avon,OH,44011,41.439964,-82.000275,94
12,Schady Rd Soccer Complex,Olmsted Falls,27075 Schady Road,Olmsted Falls,Oh,44138,41.363373,-81.941856,84
261,Lucille Heasley Soccer Fields,North Royalton,5100 Wallings Rd,North Royalton,OH,44133,41.333012,-81.721977,84
205,Medina Huffman/Cunningham Fields,Medina,4440 Weymouth Rd.,Medina,OH,44256,41.154415,-81.831406,83
337,Barton-Bradley Recreation Fields,North Olmsted,30642 Bradley Rd,North Olmsted,OH,44070,41.402107,-81.965591,78
230,Foltz Fields,Strongsville,15301 Foltz Industrial Parkway,Strongsville,Oh,44149,41.301456,-81.870888,77
372,Blossom Hill,Brecksville Bees SA,4400 Oakes Road,Brecksville,Oh,44141,41.304996,-81.661255,71
690,Parkside,Westlake,24525 Hilliard Blvd.,Westlake,OH,44145,41.461178,-81.893608,68
318,Courtland Oval Field,Shaker Hts.,Courtland Oval,Shaker Heights,OH,44122,41.485661,-81.543114,65
358,Ashland Comunity Soccer Park,Ashland,1580 Middle Rowsburg Road,Ashland,OH,44805,40.872303,-82.288521,61
90,Oberland Park,Geauga Federation SC,14775 Auburn Rd,Newbury,Oh,44065,41.466331,-81.243645,58
246,Porter Fields,Westlake,29301 Center Ridge Road,Westlake,OH,44145,41.432343,-81.943947,58
249,Troy Intermediate School,Avon Lake,237 Belmar Blvd,Avon Lake,OH,44012,41.499325,-82.036926,58
6,Linden Park,Rocky River,Linden Rd,Rocky River,Oh,44116,41.458858,-81.847008,56
162,Spring Hill Sports Complex,Green,3749 Fortuna Dr,Akron,OH,44312,40.970058,-81.486801,56
199,Sharon Community Park,Highland,6674 Ridge Rd,Wadsworth,OH,44281,41.093090,-81.735603,53
483,Sports Force Parks,Sandusky,3115 Cleveland Rd,Sandusky,OH,44870,41.431690,-82.652924,48
210,Muhl Fields,Wadsworth,390 Trease Road,Wadsworth,OH,44281,41.017506,-81.748924,47
617,River Road Park,Kenston,17535 Chagrin River Road,Chagrin Falls,OH,44023,41.391235,-81.384621,47
250,Learwood Middle School,Avon Lake,340 Lear Rd,Avon Lake,OH,44012,41.498131,-81.990211,46
332,James Day Park,Parma,11828 Pleasant Valley Rd,Parma,Oh,44130,41.364872,-81.768730,46
108,Mayfield Village,Mayfield,300 North Commons Boulevard,Mayfield Village,OH,44143,41.564480,-81.444344,45
223,Tri-City Park,Fairview Park,22950 Westwood,Fairview Park,Oh,44126,41.449783,-81.874329,44
448,Hartman Park (Townline Rd soccer fields),Aurora,305 Townline Rd,Aurora,oh,44202,41.323498,-81.300247,44
49,Gurney Elementary,Chagrin Falls,1155 Bell Rd,Chagrin Falls,OH,44022,41.433563,-81.344444,42
44,Glenwillow Fields,Solon United,7360 Austin Powder Dr.,Solon,OH,44139,41.358631,-81.470985,40
169,Arrowhead School,Copley,1600 Raleigh Blvd.,Copley,OH,44321,41.090687,-81.637466,40
195,Garfield Middle School,Lakewood,13114 Detroit Ave,Lakewood,OH,44107,41.485783,-81.779701,40
251,Granger Park Fields,Highland,3717 Ridge Rd,Medina,OH,44256,41.174686,-81.741211,40
77,Kreuger Park,Mentor,7556 Chillicothe Road,Mentor,Oh,44060,41.664864,-81.308525,38
175,Richfield Woods Park,Revere,4100 Broadview Rd,Richfield,Oh,44286,41.243141,-81.657303,38
176,Silver Springs Park,Stow,5027 Stow Rd,Stow,OH,44224,41.196747,-81.417053,38
177,Oregon Trail Park,Stow,2905 Graham Rd,Stow,Oh,44224,41.167919,-81.409698,38
668,Lake Community Park (Behind Lake HS Stadium),Lake Select SC,11920 Market Ave NE,Uniontown,Oh,44685,40.959610,-81.357803,38
73,Liberty Park,Twinsburg,9375 Liberty Rd.,Twinsburg,Oh,44087,41.317570,-81.419228,37
224,Spire Institute,Geneva,5201 Spire Circle,Geneva,OH,44041,41.773827,-80.941177,37
8,Buckeye Primary School,Buckeye,3180 Columbia Rd,Medina,OH,44256,41.187717,-81.927521,36
15,Riverview Elementary,Riverside,845 Madison Ave,Painesville,Oh,44077,41.727589,-81.220947,36
60,Cloverleaf Soccer Association Fields,Cloverleaf,8075 Buffham Rod,Lodi,OH,44254,41.041016,-81.980164,36
487,Shaker Heights Middle School,Shaker Hts.,20600 Shaker Blvd,Shaker Heights,OH,44122,41.477341,-81.533417,35
253,Memorial Elementary,Brunswick,3845 Magnolia Drive,Brunswick,OH,44214,41.270493,-81.823212,32
279,Waterworks Park,Cuyahoga Falls,2025 Munroe Falls Ave,Cuyahoga Falls,OH,44221,41.140919,-81.455688,32
588,Middlebranch Elementary School,Eagles Select,7500 Middlebranch Ave NE,Canton,oh,44720,40.888741,-81.328888,32
663,Hartman Park,NP Aurora,305 Townline Rd,Aurora,OH,44202,41.324570,-81.299377,32
497,Manchester Middle School,Manchester,760 West Nimisila Rd,New Franklin,Oh,44319,40.937450,-81.561096,29
35,Wooster Soccer Complex,Wooster,100 Oldman Rd,Wooster,OH,44691,40.835899,-81.940208,28
81,Osborne Park,Willoughby,38575 Lakeshore Blvd,Willoughby,Oh,44094,41.697067,-81.396721,28
323,Sofios Park,Norwalk HCYSC,39 N. Old State Rd,Norwalk,Oh,44857,41.257683,-82.592346,28
477,St. Joan of Arc,Perry (Stark),4940 W Tuscarawas St,Canton,OH,44708,40.792858,-81.440643,28
583,Oakleaf Community Park,Norton,3163 Wadsworth Road,Norton,OH,44203,41.051380,-81.642380,28
775,Kirk Schuring Park,Jackson,4190 Belden Greens Cir NW,Canton,OH,44718,40.842236,-81.443008,28
288,Tri-City Park,Rocky River,3640 Delmar Dr,Rocky River,Oh,44116,41.452179,-81.872437,27
776,Victory Park,North Ridgeville,7777 Victory Lane,North Ridgeville,OH,44039,41.378517,-81.976959,27
739,Newbury Field 11v11,West Geauga,14775 Auburn Road,Newbury,Oh,,41.467171,-81.243523,26
16,LaGrange Community Park,LaGrange,422 W Main St.,LaGrange,OH,44050,41.233444,-82.127136,25
155,Bath Community Center,Revere,1615 N Cleveland Massilon Rd,Akron,Oh,44333,41.179089,-81.630600,25
178,Dodge Intermediate School,Twinsburg,10225 Ravenna Rd.,Twinsburg,Oh,44087,41.322033,-81.453606,25
256,Hopkins Park (Laurel),Brunswick,3089 Laurel Road,Brunswick,Oh,44212,41.228249,-81.829948,25
311,Madison Park,Lakewood,13201 Madison Ave,Lakewood,OH,44107,41.475002,-81.780754,25
316,Shaker Heights Main Library,Shaker Hts.,16500 Van Aken Blvd,Shaker Heights,OH,44120,41.465893,-81.566483,25
317,Shelburne Field,Shaker Hts.,19815 North Park Blvd,Shaker Heights,OH,44122,41.484379,-81.539902,25
484,Summit Fairgrounds,Tallmadge,730 North Avenue,Tallmadge,OH,44278,41.121914,-81.438782,24
89,Midview Soccer Complex,Midview,16218 Chamberlain Rd,Grafton,Oh,44044,41.249809,-82.062538,23
307,Beaver Creek Park,Amherst,913 N Lake St,Amherst,OH,44001,41.407028,-82.237617,23
206,Medina - Whitetail Crossing,Medina,4224 Deer Run Drive,Medina,OH,44256,41.088604,-81.840393,21
289,Madison Middle School,Madison,6079 Middle Ridge Road,Madison,OH,44057,41.791576,-81.072395,21
46,Orchard Middle School,Solon United,6800 SOM Ctr. Rd.,Solon,OH,44139,41.374065,-81.439751,20
61,Denison Park,Eastside Kickers,1015 Quarry Rd,Cleveland Heights,OH,44121,41.534809,-81.532402,20
222,City Park,Streetsboro,9000 Kirby Lane,Streetsboro,OH,44241,41.236401,-81.321426,20
254,Crestview Elementary,Brunswick,300 W. 130th Street,Brunswick,OH,44212,41.268188,-81.787025,20
439,Portage Lakes Career Center Fields,Green,4401 Shriver Rd,Uniontown,Oh,44685,40.943470,-81.471573,20
595,Northwest Middle School Fields,Northwest,8614 Erie Ave. N,Canal Fulton,OH,44614,40.909664,-81.616089,20
596,Deeds Field,Dover,125 Williams Drive,Dover,OH,44622,40.556416,-81.498520,20
